Type,Title,Services,Skills,Description,In4_project,In4_employment,Num_applicants,Applicants,Duration,Price,Link
Đăng việc,"
Thiết kế website nội thất (chủ yếu giới thiệu công ty, sản phẩm)
","
Dịch vụ cần thuê:


Thiết kế giao diện website 

","
Kỹ năng

Wordpress  ","

Mình cần tìm người thiết kế website wordpress cho sản phẩm nội thất, tuỳ chỉnh giao diện theo yêu cầu. Yêu cầu cơ bản. 
Ưu tiên hợp tác lâu dài (do định hướng về dài hạn mình cũng sẽ có những cập nhật mới). Mình không chuyên về kỹ thuật nên chi tiết công việc xin phép trao đổi sau.

","

ID dự án
80075
Ngày đăng

                                            16/10/2024, 11:49                                    
Chỉ còn
1 ngày 19 giờ
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                3.000.000đ                                                             - 7.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Thành Long Phạm                





Digital Marketing












Đến từ
TP. Ho Chi Minh
Tham gia
31/03/2022
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        17                    
","['/freelancer/tran-kim-hang', '/freelancer/prince-dark', '/freelancer/phong-tran-54', '/freelancer/nhat-digital', '/freelancer/le-quoc-viet-1', '/freelancer/ngoc-quang-la', '/freelancer/nguyen-tran-426', '/freelancer/nguyen-nhat-hao-1', '/freelancer/hang-dang-khoa-1', '/freelancer/hbweb', '/freelancer/truong-thanh-hai-1', '/freelancer/tran-dinh-dat', '/freelancer/hoa-tuyet', '/freelancer/dung-nguyen-50', '/freelancer/nguyen-quoc-khanh-50', '/freelancer/tuan-hoang-51', '/freelancer/k-tech']","
                Trung bình:                7 ngày
","

                Thấp nhất:                3.000.000 VNĐ

|

                Trung bình:                5.200.000 VNĐ

|

                Cao nhất:                7.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/thiet-ke-website-noi-that-chu-yeu-gioi-thieu-cong-ty-san-pham?utm_source=homepage&utm_medium=job-list-block&utm_campaign=20210420_homepage_job-list-block&utm_content=link
Đăng việc,"
Thiết kế logo cho công ty
","
Dịch vụ cần thuê:


Thiết kế Logo 

","
Kỹ năng

Thiết kế logo  ","

thiết kế logo cho công ty peanut export . muốn có hình hạt đậu ngồi trên vỏ đậu ( thuyền ) cưởi trên sóng

","

ID dự án
80091
Ngày đăng

                                            16/10/2024, 16:58                                    
Chỉ còn
2 ngày
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                500.000đ                                                             - 1.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyên Nguyễn Đức Tường                


















Đến từ
TP. Ho Chi Minh
Tham gia
16/10/2024
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        15                    
","['/freelancer/yan-thai-1', '/freelancer/hung-vuong-tv', '/freelancer/hong-nguyen-39', '/freelancer/mai-linh-24', '/freelancer/gnaht-tran', '/freelancer/nhu-ngoc-83', '/freelancer/red-2', '/freelancer/hbweb', '/freelancer/thinhtran', '/freelancer/tran-kim-hang', '/freelancer/hoa-tuyet', '/freelancer/prince-dark', '/freelancer/thi-phuong-dung-dinh', '/freelancer/dung-nguyen-50', '/freelancer/linh-le-646']","
                Trung bình:                4 ngày
","

                Thấp nhất:                500.000 VNĐ

|

                Trung bình:                786.000 VNĐ

|

                Cao nhất:                1.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/thiet-ke-logo-cho-cong-ty-31?utm_source=homepage&utm_medium=job-list-block&utm_campaign=20210420_homepage_job-list-block&utm_content=link
Đăng việc,"
Cần CTV viết bài SEO cho website mới tạo
","
Dịch vụ cần thuê:


Viết nội dung cho website 

","
Kỹ năng

SEO , 
Viết bài , 
SEO on page  ","

Bên mình cần tuyển ctv content viết nội dung chuẩn seo cho website và tối ưu onpage cho website. Công việc bao gồm : 
 - Tối ưu Onpage 
 - Viết bài chi tiết sản phẩm điều hòa : Daikin, panasonic, Funiki, Casper, LG 
 - Viết bài SEO từ khóa theo kế hoạch 
Yêu cầu : 
 - Bài viết chuẩn SEO, internal link, tối ưu onpage, tối ưu các thẻ 
 - Tự lên kế hoạch viết bài 
 - Báo cáo qua gg sheet

","

ID dự án
80055
Ngày đăng

                                            16/10/2024, 00:36                                    
Chỉ còn
1 ngày 7 giờ
Địa điểm

                Hà Nội            
Ngân sách

                5.000.000đ                                                             - 10.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Ngọc Anh Nguyễn                


















Đến từ
Ha Noi
Tham gia
14/08/2018
Đã đăng


                    4                    việc                



","
                Chào giá:                                        
                        13                    
","['/freelancer/linh-audi', '/freelancer/trang-ly', '/freelancer/nguyen-phuong-huyen-tram', '/freelancer/tra-thu-18', '/freelancer/thao-tran-2', '/freelancer/nhung-tran-18', '/freelancer/thao-phan-77', '/freelancer/nhu-ngoc-83', '/freelancer/le-nguyen-bao-ngoc', '/freelancer/thi-phuong-dung-dinh', '/freelancer/to-coder-tay', '/freelancer/be-huyen', '/freelancer/pham-my-loan-1']","
                Trung bình:                21 ngày
","

                Thấp nhất:                100.000 VNĐ

|

                Trung bình:                6.700.000 VNĐ

|

                Cao nhất:                10.000.000 VNĐ

",https://www.vlance.vn/viec-lam/can-ctv-viet-bai-seo-cho-website-moi-tao?utm_source=homepage&utm_medium=job-list-block&utm_campaign=20210420_homepage_job-list-block&utm_content=link
Chiến dịch hiển thị,"
(869) Mình cần tìm 25 bạn RV cho maps Chợ đồ cũ - thanh lý đồ nhà hàng, khách sạn 869 (1/2))
Đã đảm bảo
",,,"


""A. Yêu cầu về nội dung: Review map về nơi mua bán đồ cũ nhà hàng - khách sạn 
Lưu ý: Trước khi review: Phải nhấn chỉ đường sau khi nhấn vào link maps 
1. Mức sao đặt cho review: 5 sao 
2. Định hướng viết: 
- Các review phải đặt 5 sao, 
- Từ khóa: 
 + Chợ đồ cũ 
 + Thanh lý - mua bán đồ cũ: đồ dùng nhà hàng, khách sạn ví dụ như bàn ghế quán ăn, thiết bị bếp nhà hàng, bàn ghế văn phòng.... 
- Mỗi review cần viết 1-2 câu thể hiện sự hài lòng về dịch vụ, về mua được sản phẩm cũ nhưng còn dùng tốt, chất lượng 
- Lời khen đọc phải thật, ko tâng bốc quá đà. 
"" 
""B. Điều kiện nghiệm thu 
Review được hiển thị công khai trên map 
""


Yêu cầu về hồ sơ tham gia
""C. Yêu cầu về hồ sơ tham gia 
1. Tài khoản dùng để review phải là chính chủ, không phải tài khoản ảo 
2. Tài khoản dùng để review cần phải có ảnh đại diện""



","

Id
80085
Ngày đăng

                16/10/2024            
Chỉ còn
27 ngày 22 giờ
Tổng ngân sách

                250.000đ                            
Số review yêu cầu
25
Số tiền trả cho 1 review
10.000đ

","









                        Thanh Hiền                





Sales Executive












Đến từ
Ha Noi
Tham gia
31/03/2014
Đã đăng


                    518                    việc                



","
                Số lượng hồ sơ 125
",,"
                                                            Chỉ còn 27 ngày 22 giờ
","

                Tổng ngân sách 250.000 VNĐ

",https://www.vlance.vn/cd-tang-review/869-minh-can-tim-25-ban-rv-cho-maps-cho-do-cu-thanh-ly-do-nha-hang-khach-san-869-1-2
Đăng việc,"
Cần hợp tác với 1 bên chuyên hỗ trợ về các vấn đề phần mềm và virus cho văn phòng công ty Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Test và kiểm tra lỗi 

",,"

Công ty mình làm vận chuyển sử dụng phần mềm nội bộ, công ty mình cần hợp tác 1 bên chuyên về giải quyết các vấn đề virus, cài đặt phần mềm, hỗ trợ văn phòng 1 số vấn đề về các lỗi máy tính (nếu gặp trong quá trình sử dụng các ứng dụng). 
Cần báo giá cho những vấn đề cụ thể như diệt virus,.., cần đơn vị vui vẻ nhiệt tình, bên mình muốn hợp tác hỗ trợ lâu dài, hiện bên mình có 1 IT riêng nhưng vẫn chưa phù hợp lắm

","

ID dự án
59822
Ngày đăng

                                            01/07/2022, 15:19                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                200.000đ                                                             - 2.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Phạm Ngọc                
















Đến từ
TP. Ho Chi Minh
Tham gia
05/05/2020
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        3                    
","['/freelancer/quoc-thang-18', '/freelancer/nguyen-tuan-anh-258', '/freelancer/nguyen-ngoc-hoang-hai']","
                Trung bình:                11 ngày
","

                Thấp nhất:                1.440.000 VNĐ

|

                Trung bình:                2.313.333 VNĐ

|

                Cao nhất:                3.500.000 VNĐ

",https://www.vlance.vn/viec-freelance/can-hop-tac-voi-1-ben-chuyen-ho-tro-ve-cac-van-de-phan-mem-va-virus-cho-van-phong-cong-ty
Đăng việc,"
Thiết kế lại website thiết bị phòng tắm, thiết bị vệ sinh Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Xây dựng website wordpress 

","
Kỹ năng

SEO , 
Wordpress  ","

Mình cần làm mới lại website https://senvoiamy.com sang nền tảng wordpress và tối ưu lại chuẩn SEO, tạo điểm nhấn để nhấn mạnh nguồn gốc sản phẩm nhập khẩu Hàn Quốc của sản phẩm. 
Có thống nhất giao diện,chức năng trước khi triển khai

","

ID dự án
59817
Ngày đăng

                                            01/07/2022, 14:34                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                500.000đ                                                             - 2.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyen Ha                





Cử Nhân CNTT












Đến từ
Ha Noi
Tham gia
22/03/2022
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        13                    
","['/freelancer/nguyen-dat-80', '/freelancer/nguyen-hoang-anh-26', '/freelancer/y-truong', '/freelancer/hung-pham-260', '/freelancer/prince-dark', '/freelancer/le-van-tan', '/freelancer/nguyen-ngoc-oanh-1', '/freelancer/le-quoc-viet-1', '/freelancer/nguyen-tuan-anh-258', '/freelancer/trueday', '/freelancer/ngoc-sang-dao', '/freelancer/log10-production', '/freelancer/huy-honest']","
                Trung bình:                7 ngày
","

                Thấp nhất:                1.200.000 VNĐ

|

                Trung bình:                2.942.308 VNĐ

|

                Cao nhất:                7.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/thiet-ke-lai-website-thiet-bi-phong-tam-thiet-bi-ve-sinh
Đăng việc,"
Cần 1 vài bạn làm dự án Api cho hệ thống Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Làm Mobile App theo yêu cầu 

",,"

- Cần tuyển dev hợp tác làm dự án lâu dài 
- nhận làm parttime(Hà nội)

","

ID dự án
59812
Ngày đăng

                                            01/07/2022, 10:30                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                10.000.000đ                                                             - 20.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Huy Honest                



Lập trình viên app mobile












Đến từ
Hai Phong
Tham gia
22/03/2020
Đã đăng


                    8                    việc                



","
                Chào giá:                                        
                        15                    
","['/freelancer/nhan-nguyen-552', '/freelancer/thai-vu-23', '/freelancer/chien-duong-van-1', '/freelancer/anh-quan-nguyen-dinh', '/freelancer/nhac-vo-bach', '/freelancer/le-van-tan', '/freelancer/hoang-le-55', '/freelancer/tu-ninh', '/freelancer/tran-duc-hoang-3', '/freelancer/le-quoc-viet-1', '/freelancer/do-lan-4', '/freelancer/cam-huu', '/freelancer/ho-van-hoa', '/freelancer/trinh-lap-trinh', '/freelancer/tien-dung-nguyen-9']","
                Trung bình:                19 ngày
","

                Thấp nhất:                10.000.000 VNĐ

|

                Trung bình:                15.066.667 VNĐ

|

                Cao nhất:                20.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/can-1-vai-ban-lam-du-an-api-cho-he-thong
Secret project,,,,,,,,,,,https://www.vlance.vn/viec-lam/viet-app-dieu-khien-loa-karaoke
Đăng việc,"
Thiết kế phần mềm Hết hạn nhận chào giá

","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Adobe Photoshop , 
code  ","

Mình đang cần một bạn biết code có thể tạo License Key cho Plugin photoshop. Công việc ko quá phức tạp. 
Mức giá thoả thuận. Liên lạc mình để trao đổi cụ thể

","

ID dự án
59706
Ngày đăng

                                            27/06/2022, 17:14                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                200.000đ                                                             - 1.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Trần Phúc Nguyện                





Founder












Đến từ
Ha Noi
Tham gia
02/08/2016
Đã đăng


                    5                    việc                



","
                Chào giá:                                        
                        2                    
","['/freelancer/trinh-lap-trinh', '/freelancer/duy-le-211']","
                Trung bình:                3 ngày
","

                Thấp nhất:                800.000 VNĐ

|

                Trung bình:                900.000 VNĐ

|

                Cao nhất:                1.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/thiet-ke-phan-mem-3
Đăng việc,"
Cần Tuyển nhân viên làm online seo cho website moma Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


SEO website 

","
Kỹ năng

SEO  ","

Cần Tuyển nhân viên làm online seo cho website moma 
Mình có 2 website https://moma.vn/trang/tao-moi-website?utm_source=http://ketcongnghe.com 
 và https://tiva.vn/ 
cần tìm 01 bạn làm Vlancer seo online cho mấy từ khóa chỉ định

","

ID dự án
59794
Ngày đăng

                                            30/06/2022, 18:00                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                                                             - 3.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo tháng                            

","









                        Nguyễn Xuân Kết                





Thạc sĩ quản trị kinh doanh












Đến từ
Ha Noi
Tham gia
05/04/2019
Đã đăng


                    66                    việc                



","
                Chào giá:                                        
                        3                    
","['/freelancer/thao-an-ung', '/freelancer/ho-tien-3', '/freelancer/tran-duc-chuong']","
                Trung bình:                4 ngày
","

                Thấp nhất:                2.000.000 VNĐ

|

                Trung bình:                4.333.333 VNĐ

|

                Cao nhất:                8.000.000 VNĐ

",https://www.vlance.vn/viec-lam/can-tuyen-nhan-vien-lam-online-seo-cho-website-moma
